"Timestamp","Gender","Age Group","What is your current stage in life?","Are you currently a student or staff at any Educational Institution?","Which level of institution are you currently engaged in? (Pick all that apply)","If University was your answer to the previous question, which institution is it?","What is your role within the Education Institution?","Do you reside/stay on campus, or live close by?","On average, how much time do you spend being physically present on campus in a week?","How long are your breaks? (Pick all that apply)","Which do you identify with? (Pick all that apply)","Which of the following stresses you? [General day to day activities (Eating etc)]","Which of the following stresses you? [Studies]","Which of the following stresses you? [Work and Career]","Which of the following stresses you? [Personal Finances ]","Which of the following stresses you? [Other activities, CCA etc]","Which of the following stresses you? [Relationships with Family members]","Which of the following stresses you? [Relationships with Friends]","Which of the following stresses you? [Relationships at Work]","Which of the following stresses you? [Relationships with Romantic partners]","How stressed were you for the past 24 hours?","How stressed were you for the past month?","How important is it for you to actively address stress in your everyday life?","Which of these techniques do you identify with for relaxation? [Breathing control]","Which of these techniques do you identify with for relaxation? [Meditation]","Which of these techniques do you identify with for relaxation? [Body therapy (Massage, Reflexology, etc.)]","Which of these techniques do you identify with for relaxation? [Social Gathering (Meeting friends/partner, etc.)]","Which of these techniques do you identify with for relaxation? [Physical Activity (Sports, Hiking etc) ]","Which of these techniques do you identify with for relaxation? [Therapy ]","Which of these techniques do you identify with for relaxation? [Sleeping]","Do you have a personal technique you use to relax yourself?","If you knew of and have experienced a good solution to relax or lower your stress levels, how much of your time would you allocate for it daily?","Are you actively going for Body therapy to relief stress? (Massage, Reflexology, etc.)","What are your opinions on getting a massage?","What style of massage do you prefer or frequently go to? [Thai]","What style of massage do you prefer or frequently go to? [Chinese (fast paced)]","What style of massage do you prefer or frequently go to? [American]","What style of massage do you prefer or frequently go to? [Japanese (press)]","Would Covid-19 affect your decision to go for therapy sessions?","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the clinic was closer to your residence?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the clinic was closer to your workplace?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the price was lower?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the time it takes per session is reduced?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [your friends or colleagues could easily go with you to a session?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the masseurs are certified?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the clinic was more hygienic and clean?]","Would you increase your visiting frequency to massage clinics if (Pick all that apply) [the clinics were located within teaching institutions?]","How much do you spend at massage clinics per month on average?","How long should a massage session be for you, in order for it to be effective?","Do you think it is important to set your mind and mood right before the massage session begins?","How concerning are these factors to you? [Cleaniless]","How concerning are these factors to you? [Clinic reputation]","How concerning are these factors to you? [Lighting / Mood of the venue]","How concerning are these factors to you? [Whether there are sexually immoral masseurs]","How concerning are these factors to you? [Whether there are same gender masseurs]","How concerning are these factors to you? [Robotic masseurs]","Are there other concerns or worries around getting a massage from a masseur? (optional)","Would you like to answer a few extra survey questions, or would you like to end here?","Do you believe that getting a massage can be a good method to help you relax?","What do you think of these massage styles? [Thai]","What do you think of these massage styles? [Chinese (fast paced)]","What do you think of these massage styles? [American]","What do you think of these massage styles? [Japanese (press)]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [the services are affordable]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [the clinic is clean]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [it has a good reputation]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [the lighting and mood of the venue is good]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [there are no sexually immoral masseurs]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [there are same gender masseurs]","If there were pop up massage clinics very near your residence, school or workplace, would you go if [there are robotic masseurs]","How much time would you be willing to spend to try out the first massage session?","How much time would you be willing to spend in future if the first massage experience was good?","How much do you think each session would cost at a massage clinic?","How much would you be willing to spend at massage clinic per session?","Would you be willing to visit a massage clinic if they were located within the campus of teaching institutions?","What could be the possible barriers that prevent you from going to such a massage facility that is located in the campus of teaching institutions?","Are there other concerns or worries around getting a massage from a masseur? (optional)","Would you like to answer a few extra survey questions, or would you like to end here?","If your local teaching institution had massage facilities within the campus, would you engage in one? Please elaborate.",""
"2022/02/10 4:04:38 PM GMT+8","Male","22-24 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","Yes, I stay on campus","2-5 Hours","I have lunchbreaks of 1 to 2 hours, and/or including tea breaks;I have multiple slots of free time between lessons/lectures/tutorials etc","Stress affects my sleep","Not affected by this","Not affected by this","Very affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","2","3","2","Not at all","Not at all","Not at all","Yes, always","Yes, always","Not at all","Yes, always","up down","5 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Yes, this is important for me","Maybe","Yes, this is important for me","Maybe","Yes, this is important for me","Not affected by this","Not affected by this","30 Minutes to 1 Hour","30 Minutes to 1 Hour","<$10","<$10","Yes","","","Thank you - End here","",""
"2022/02/10 4:14:47 PM GMT+8","Female","22-24 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","No I do not, and I live about 2-5 MRT stations away","5-10 Hours","I only have one lunchbreak of 30 mins to 1 hour","I am not bothered by stress usually, but it comes up occassionally","Not affected by this","It affects me occasionally","Very affected by this","It affects me occasionally","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","6","7","5","Yes, always","Yes, always","Yes, always","Sometimes","Sometimes","Sometimes","Yes, always","Reading bible","20-30 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","No, not at all","Never heard of it","I have heard some good news","I have heard some good news","Never heard of it","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","30 Minutes to 1 Hour","30 Minutes to 1 Hour",">$50","$10-$20","Maybe","Potential sexual harrasment problems (eg. Videoing etc)","","Thank you - End here","",""
"2022/02/10 4:16:30 PM GMT+8","Male","22-24 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","Yes, I stay on campus","20-40 Hours, I work on campus","I have lunchbreaks of 1 to 2 hours, and/or including tea breaks","Stress affects my social interactions;Stress affects my mental and/or emotional health;Stress affects my physical health","Not affected by this","Very affected by this","Not affected by this","It affects me occasionally","It affects me occasionally","Not affected by this","Not affected by this","Not affected by this","Not affected by this","6","8","3","Not at all","Not at all","Not at all","Sometimes","Yes, always","Not at all","Yes, always","no","10-20 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have good experiences with it","Never heard of it","Never heard of it","Never heard of it","Maybe","Maybe","Maybe","Maybe","Yes, this is important for me","Yes, this is important for me","Not affected by this","10-15 Minutes","10-15 Minutes","$20-$30","$10-$20","Maybe","stigma","","Thank you - End here","",""
"2022/02/10 4:18:20 PM GMT+8","Male","18-20 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","No I do not, and I live much further than the above options","Zero, everything is online for me","My schedule is not fixed and I have very flexible hours","I am not bothered by stress at all","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","1","1","1","Not at all","Not at all","Not at all","Yes, always","Yes, always","Not at all","Yes, always","","5 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have heard some good news","I have heard some good news","Never heard of it","Never heard of it","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","Not affected by this","Not affected by this","Not affected by this",">1 Hour",">1 Hour","$30-$40","$30-$40","Yes","Time between lessons","","Thank you - End here","",""
"2022/02/10 4:20:10 PM GMT+8","Female","22-24 Years","I am working (full time)","No","","","","","","","Stress affects my daily tasks;Stress affects my social interactions;Stress affects my sleep;Stress affects my mental and/or emotional health;Stress affects my physical health","Not affected by this","Very affected by this","Very affected by this","It affects me occasionally","It affects me occasionally","Not affected by this","It affects me occasionally","It affects me occasionally","Not affected by this","1","1","4","Not at all","Sometimes","Sometimes","Yes, always","Sometimes","Not at all","Yes, always","Shopping",">2 Hours","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have heard some good news","I have good experiences with it","Never heard of it","Never heard of it","Maybe","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","20-30 Minutes","20-30 Minutes","$40-$50","$40-$50","Yes","Doesnt NUS have a lot of peeping tom cases? This could be one reason as there are some massage facilities which requires you to change outfit sometimes.","Too long of an explanation/list and lazy to type","Thank you - End here","",""
"2022/02/10 4:42:38 PM GMT+8","Male","22-24 Years","I am a student (full time)","Yes","University","Nanyang Technological University (NTU)","Full Time Student","No I do not, and I live much further than the above options","2-5 Hours","I have lunchbreaks of 1 to 2 hours, and/or including tea breaks","I am not bothered by stress usually, but it comes up occassionally","Not affected by this","It affects me occasionally","Very affected by this","It affects me occasionally","It affects me occasionally","Very affected by this","It affects me occasionally","It affects me occasionally","Very affected by this","3","3","3","Sometimes","Sometimes","Sometimes","Sometimes","Yes, always","Not at all","Yes, always","Sleeping ","45 Minutes - 1 Hour","No","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, absolutely","I have heard some good news","Never heard of it","Never heard of it","Never heard of it","Maybe","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Not affected by this","Maybe","20-30 Minutes",">1 Hour",">$50","$30-$40","Yes","Other activities to do","No","Thank you - End here","",""
"2022/02/10 4:43:03 PM GMT+8","Female","20-22 Years","I am working (full time)","No","","","","","","","Stress affects my sleep;Stress affects my mental and/or emotional health","It affects me occasionally","It affects me occasionally","It affects me occasionally","It affects me occasionally","Not affected by this","It affects me occasionally","It affects me occasionally","It affects me occasionally","It affects me occasionally","4","6","3","Yes, always","Yes, always","Sometimes","Sometimes","Yes, always","Sometimes","Sometimes","Listening to meditation music while resting","5-10 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have good experiences with it","I have good experiences with it","I have heard some good news","I have heard some good news","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","Not affected by this","30 Minutes to 1 Hour",">1 Hour","$40-$50",">$50","Maybe","","","Thank you - End here","",""
"2022/02/10 5:40:28 PM GMT+8","Female","20-22 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","No I do not, but I live about 1-5 bus stops away","10-20 Hours","I have lunchbreaks of 1 to 2 hours, and/or including tea breaks","Stress affects my mental and/or emotional health;I am not bothered by stress usually, but it comes up occassionally","Not affected by this","It affects me occasionally","It affects me occasionally","It affects me occasionally","It affects me occasionally","Not affected by this","Not affected by this","Not affected by this","Not affected by this","6","6","3","Not at all","Sometimes","Sometimes","Yes, always","Yes, always","Sometimes","Yes, always","","1-2 Hours","No","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, absolutely","I have good experiences with it","I have good experiences with it","I have good experiences with it","Never heard of it","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Not affected by this","Not affected by this","Maybe","Maybe","30 Minutes to 1 Hour","30 Minutes to 1 Hour","$20-$30","$30-$40","Maybe","","","Continue - I want to help you further","I would if it's affordable and provided i go to school. But maintenance coat though",""
"2022/02/10 5:46:08 PM GMT+8","Male","20-22 Years","I am working (full time)","No","","","","","","","Stress affects my daily tasks;Stress affects my mental and/or emotional health;I am not bothered by stress usually, but it comes up occassionally","It affects me occasionally","It affects me occasionally","It affects me occasionally","It affects me occasionally","Not affected by this","It affects me occasionally","It affects me occasionally","It affects me occasionally","Not affected by this","7","9","4","Sometimes","Sometimes","Sometimes","Sometimes","Yes, always","Sometimes","Yes, always","Deal with it","20-30 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have good experiences with it","I have heard some good news","Never heard of it","I have heard some good news","Not affected by this","Yes, this is important for me","Yes, this is important for me","Maybe","Not affected by this","Not affected by this","Not affected by this",">1 Hour",">1 Hour",">$50",">$50","Maybe","Distance","Nope","Continue - I want to help you further","Yes and no, i will see if is good, because i know good massage places outside ",""
"2022/02/10 5:47:16 PM GMT+8","Male","22-24 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","No I do not, and I live much further than the above options","2-5 Hours","I have lunchbreaks of 1 to 2 hours, and/or including tea breaks","Stress affects my social interactions;Stress affects my sleep;Stress affects my mental and/or emotional health","Not affected by this","It affects me occasionally","It affects me occasionally","Not affected by this","Not affected by this","It affects me occasionally","Not affected by this","It affects me occasionally","Not affected by this","8","6","4","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Yes, always","-","1-2 Hours","No","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, absolutely","I have good experiences with it","I have good experiences with it","Never heard of it","Never heard of it","Maybe","Yes, this is important for me","Yes, this is important for me","Maybe","Yes, this is important for me","Not affected by this","Not affected by this","30 Minutes to 1 Hour","30 Minutes to 1 Hour","$40-$50","$30-$40","Maybe","No slot","","Thank you - End here","",""
"2022/02/10 5:48:04 PM GMT+8","Female","20-22 Years","I am a student (full time)","No","","","","","","","Stress affects my social interactions;Stress affects my mental and/or emotional health","Not affected by this","It affects me occasionally","Very affected by this","Not affected by this","Not affected by this","It affects me occasionally","It affects me occasionally","Not affected by this","Not affected by this","5","3","4","Not at all","Not at all","Not at all","Yes, always","Yes, always","Not at all","Yes, always","cry","5-10 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have good experiences with it","I have heard some good news","Never heard of it","Never heard of it","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","Yes, this is important for me","Yes, this is important for me","Not affected by this","5-10 Minutes","10-15 Minutes","$10-$20","<$10","Maybe","not along the way","","Thank you - End here","",""
"2022/02/10 5:55:18 PM GMT+8","Male","26-30 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","Yes, I stay on campus","10-20 Hours","My schedule is not fixed and I have very flexible hours","I am not bothered by stress usually, but it comes up occassionally","Not affected by this","Very affected by this","It affects me occasionally","It affects me occasionally","Not affected by this","Not affected by this","Not affected by this","Not affected by this","Not affected by this","4","4","3","Sometimes","Sometimes","Not at all","Yes, always","Yes, always","Not at all","Yes, always","NIL","5-10 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, absolutely","I have heard some good news","I have heard some good news","I have heard some good news","I have heard some good news","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","Maybe","Maybe","Not affected by this","10-15 Minutes","30 Minutes to 1 Hour","$20-$30","$20-$30","Yes","NIL","NIL","Thank you - End here","",""
"2022/02/10 6:02:22 PM GMT+8","Male","20-22 Years","Full time Student with a full time job","Yes","University","National University of Singapore (NUS)","Full Time Student","Yes, I stay on campus","20-40 Hours, I work on campus","I have multiple slots of free time between lessons/lectures/tutorials etc","Stress affects my daily tasks;Stress affects my social interactions;Stress affects my mental and/or emotional health","Not affected by this","Very affected by this","Very affected by this","Very affected by this","Not affected by this","Not affected by this","Not affected by this","It affects me occasionally","It affects me occasionally","7","7","4","Sometimes","Not at all","Not at all","Not at all","Sometimes","Not at all","Sometimes","Closing my eyes and listening to some sad songs like perfect by ed sheeran or love story by taylor swift","20-30 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","No, not at all","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Yes, this is important for me","Maybe","Maybe","Maybe","Not affected by this","Not affected by this","Not affected by this","30 Minutes to 1 Hour","30 Minutes to 1 Hour",">$50","$10-$20","Yes","Cost and time (opportunity cost to do other stuff) ","","Thank you - End here","",""
"2022/02/10 6:03:41 PM GMT+8","Female","20-22 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","No I do not, and I live about 2-5 MRT stations away","2-5 Hours","I have lunchbreaks of 1 to 2 hours, and/or including tea breaks","Stress affects my daily tasks;Stress affects my social interactions;Stress affects my sleep;Stress affects my mental and/or emotional health;Stress affects my physical health","It affects me occasionally","Very affected by this","Very affected by this","Very affected by this","Very affected by this","Very affected by this","Very affected by this","Very affected by this","It affects me occasionally","8","8","5","Not at all","Sometimes","Yes, always","Yes, always","Yes, always","Not at all","Yes, always","","1-2 Hours","Yes","I only have to do it once a month to get the best results from it","Yes, very much","Yes, very much","Yes, very much","Yes, very much","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","$100-$200","30 Minutes to 1 Hour","Yes, absolutely","Yes, very much","Yes, very much","Yes, very much","Yes, very much","Yes, very much","Yes, very much","","Thank you - End here","","","","","","","","","","","","","","","","","","","","","",""
"2022/02/10 6:16:13 PM GMT+8","Female","20-22 Years","I am a student (full time)","Yes","University","National University of Singapore (NUS)","Full Time Student","No I do not, and I live much further than the above options","5-10 Hours","I only have one lunchbreak of 30 mins to 1 hour;I have multiple slots of free time between lessons/lectures/tutorials etc","Stress affects my daily tasks;Stress affects my social interactions;Stress affects my mental and/or emotional health;Stress affects my physical health","Very affected by this","It affects me occasionally","It affects me occasionally","It affects me occasionally","Not affected by this","Very affected by this","Very affected by this","It affects me occasionally","Not affected by this","7","6","2","Not at all","Not at all","Not at all","Yes, always","Sometimes","Not at all","Yes, always","Frantically messing around with my rubik cube ","10-20 Minutes","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have heard some good news","Never heard of it","Never heard of it","Never heard of it","Yes, this is important for me","Yes, this is important for me","Maybe","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Maybe","5-10 Minutes","20-30 Minutes",">$50","$20-$30","Maybe","","","Thank you - End here","",""
"2022/02/10 6:34:33 PM GMT+8","Female","22-24 Years","I am a student (full time)","No","","","","","","","Stress affects my daily tasks;Stress affects my mental and/or emotional health","Not affected by this","Very affected by this","Very affected by this","Very affected by this","Not affected by this","Not affected by this","It affects me occasionally","It affects me occasionally","It affects me occasionally","9","4","4","Yes, always","Sometimes","Not at all","Yes, always","Yes, always","Sometimes","Not at all","yoga","45 Minutes - 1 Hour","No","","","","","","","","","","","","","","","","","","","","","","","","","","Maybe","I have good experiences with it","Never heard of it","Never heard of it","I have heard some good news","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Yes, this is important for me","Not affected by this","30 Minutes to 1 Hour","30 Minutes to 1 Hour","$10-$20","$10-$20","Yes","","","Thank you - End here","",""
